Date,TransactionType,SBD,Steem,SteemPower,Vests,TransactionID,Memo
2016-11-17T08:19:54,account_create,IGNORE,"{'block': 6797654,  'op': ['account_create',         {'active': {'account_auths': [],                     'key_auths': [['STM55MGbkqxbpU7eU4UXiBCfEUm92aL96syCuCw2tnvAzxR9BHuC6',                                    1]],                     'weight_threshold': 1},          'creator': 'anonsteem',          'fee': '40.000 STEEM',          'json_metadata': '',          'memo_key': 'STM8hN8Zs7Wj4cVTSfZNEQzi5bBxeZzmHpqVxbfSaz3ADgsSDRQem',          'new_account_name': 'tradeqwik',          'owner': {'account_auths': [],                    'key_auths': [['STM7B88m1tw22y4EJ9F6UxTteGaVTw6iZwtKMJ3zQuJaTvZuBjZAu',                                   1]],                    'weight_threshold': 1},          'posting': {'account_auths': [],                      'key_auths': [['STM8HfDR8LyJMyT8KKambnfbNK5szAXmgVrMbLoKh3qzNnqJcAM9n',                                     1]],                      'weight_threshold': 1}}],  'op_in_trx': 0,  'timestamp': '2016-11-17T08:19:54',  'trx_id': 'f18d71eb1e1f17348e86875fe55905cc07e4bf19',  'trx_in_block': 5,  'virtual_op': 0}"
2016-11-17T12:59:27,custom_json,IGNORE,"{'block': 6803245,  'op': ['custom_json',         {'id': 'follow',          'json': '[""reblog"",{""account"":""tradeqwik"",""author"":""williambanks"",""permlink"":""introduction-to-viva-a-price-stable-crypto-currency-with-basic-income-that-s-not-hypothetical""}]',          'required_auths': [],          'required_posting_auths': ['tradeqwik']}],  'op_in_trx': 0,  'timestamp': '2016-11-17T12:59:27',  'trx_id': '4132632f1b09d0a58f9ab6694f150dab58d20442',  'trx_in_block': 2,  'virtual_op': 0}"
2016-11-17T12:59:36,custom_json,IGNORE,"{'block': 6803248,  'op': ['custom_json',         {'id': 'follow',          'json': '[""reblog"",{""account"":""tradeqwik"",""author"":""williambanks"",""permlink"":""introduction-to-viva-part-2-more-than-meets-the-eye""}]',          'required_auths': [],          'required_posting_auths': ['tradeqwik']}],  'op_in_trx': 0,  'timestamp': '2016-11-17T12:59:36',  'trx_id': '3f1ee74c0bfe522ccc307c408043a9be3b86a758',  'trx_in_block': 4,  'virtual_op': 0}"
2016-11-17T12:59:51,custom_json,IGNORE,"{'block': 6803253,  'op': ['custom_json',         {'id': 'follow',          'json': '[""reblog"",{""account"":""tradeqwik"",""author"":""williambanks"",""permlink"":""introduction-to-viva-part-3-how-does-it-work""}]',          'required_auths': [],          'required_posting_auths': ['tradeqwik']}],  'op_in_trx': 0,  'timestamp': '2016-11-17T12:59:51',  'trx_id': '6cbb99f3cfafa9351d623c74c5c382a06741679c',  'trx_in_block': 1,  'virtual_op': 0}"
2016-11-17T13:00:03,custom_json,IGNORE,"{'block': 6803257,  'op': ['custom_json',         {'id': 'follow',          'json': '[""reblog"",{""account"":""tradeqwik"",""author"":""williambanks"",""permlink"":""introduction-to-viva-part-4-how-do-you-bootstrap-a-new-economy""}]',          'required_auths': [],          'required_posting_auths': ['tradeqwik']}],  'op_in_trx': 0,  'timestamp': '2016-11-17T13:00:03',  'trx_id': '71d44b4dbc39cdba2a247175eb71f83c69be53e6',  'trx_in_block': 1,  'virtual_op': 0}"
2016-11-17T13:07:51,comment,IGNORE,"{'block': 6803413,  'op': ['comment',         {'author': 'tradeqwik',          'body': '@cryptochannel & @acidyo Welcome back to the world!\n'                  'Since you mentioned investing in blockchain startups, I '                  'thought you might be interested in reading this...\n'                  'https://steemit.com/basicincome/@williambanks/introduction-to-viva-part-4-how-do-you-bootstrap-a-new-economy\n'                  '\n'                  ""It's relevant to your mining because the Crown's do use ""                  'Equihash for their discovery algorithm and the mints use it '                  'for PoW, during  sync ordering operations on the blockchain.',          'json_metadata': '{""tags"":[""trading""],""users"":[""cryptochannel"",""acidyo""],""links"":[""https://steemit.com/basicincome/@williambanks/introduction-to-viva-part-4-how-do-you-bootstrap-a-new-economy""]}',          'parent_author': 'cryptochannel',          'parent_permlink': 'why-i-started-mining-again-and-am-looking-to-invest-in-new-block-chain-startups',          'permlink': 're-cryptochannel-why-i-started-mining-again-and-am-looking-to-invest-in-new-block-chain-startups-20161117t130748316z',          'title': ''}],  'op_in_trx': 0,  'timestamp': '2016-11-17T13:07:51',  'trx_id': '223d693252cdbb939e135276f62d6463590e96a1',  'trx_in_block': 0,  'virtual_op': 0}"
2016-11-17T13:08:21,vote,IGNORE,"{'block': 6803423,  'op': ['vote',         {'author': 'cryptochannel',          'permlink': 'why-i-started-mining-again-and-am-looking-to-invest-in-new-block-chain-startups',          'voter': 'tradeqwik',          'weight': 10000}],  'op_in_trx': 0,  'timestamp': '2016-11-17T13:08:21',  'trx_id': '010e0273428d0720dd38265cadc7235ebd22b3a2',  'trx_in_block': 3,  'virtual_op': 0}"
2016-11-17T13:08:39,custom_json,IGNORE,"{'block': 6803429,  'op': ['custom_json',         {'id': 'follow',          'json': '[""follow"",{""follower"":""tradeqwik"",""following"":""cryptochannel"",""what"":[""blog""]}]',          'required_auths': [],          'required_posting_auths': ['tradeqwik']}],  'op_in_trx': 0,  'timestamp': '2016-11-17T13:08:39',  'trx_id': '93dae3899b8ed40f0ef405d3ee24fc304f15db09',  'trx_in_block': 4,  'virtual_op': 0}"
2016-11-17T13:09:24,comment,IGNORE,"{'block': 6803444,  'op': ['comment',         {'author': 'tradeqwik',          'body': '@@ -438,8 +438,93 @@\n'                  ' ckchain.\n'                  '+%0AUpvoted and followed.  BTW @williambanks is running this '                  'particular account for now.\n',          'json_metadata': '{""tags"":[""trading""],""users"":[""cryptochannel"",""acidyo"",""williambanks""],""links"":[""https://steemit.com/basicincome/@williambanks/introduction-to-viva-part-4-how-do-you-bootstrap-a-new-economy""]}',          'parent_author': 'cryptochannel',          'parent_permlink': 'why-i-started-mining-again-and-am-looking-to-invest-in-new-block-chain-startups',          'permlink': 're-cryptochannel-why-i-started-mining-again-and-am-looking-to-invest-in-new-block-chain-startups-20161117t130748316z',          'title': ''}],  'op_in_trx': 0,  'timestamp': '2016-11-17T13:09:24',  'trx_id': 'de2894ee2aa43e30b38f5313306f4d0c89338d3c',  'trx_in_block': 1,  'virtual_op': 0}"
2017-02-08T08:29:21,transfer,5.0,0,0,30a1704e8adc7d54d445de828b1597a70f7385e1,5264361531911169
